PrimaryKey,Name,Hierarki,Innbyggere totalt,Type,Infrastruktur,Oppsummering (kort),Atmosfære,Rolle_ID,Rollup Tidslinje_ID,Kjente innbyggere_ID,Innbyggere tilknyttede steder,Tilknyttede steder,Rollup Karakterer_ID,Relasjoner_ID
STE-1,Palmstad,STE-1 -> STE-5 -> STE-29,350,Landsby,"Matbutikken, lørdagsmarked, Palmstad Kafé, skole, medisinsk senter, lite hotell, små butikker (3 etasjer max), sentrale hus, Nord-sør grusvei (~4 km), Øst-vest grusvei (~4 km)","Hovedtettsted på Palmøya med butikker, boliger og Tingstedet; livlig, tropisk atmosfære; øyas sentrale knutepunkt, Mia sykler ofte hit via Palm Kai fra Østsida (~5 km)","Livlig markedslukt, fakkelbelysning, folkemengder",N/A,"TID-31,TID-158","KAR-16,KAR-9,KAR-23,KAR-12",,"STE-8,STE-22,STE-30,STE-36","KAR-1,KAR-5,KAR-4,KAR-31",
STE-2,Palm Kai,STE-2 -> STE-5 -> STE-29,30,Bygd,"Fergekai, sykkelstativ, hester og vogner for varer, spredte hus og hytter langs grussti, lite fryselager for fiskeeksport, Ringveien (~12 km), Nord-sør grusvei (~4 km)","Mini bygd ved fergekaia, satellitt til Sørstrand, knutepunkt for fergen til fastlandet, ukentlig ankomst (onsdag kl. 9) og avgang (onsdag kl. 10), varer og fiskeeksport; livlig ved ankomst","Saltvannslukt, hestehovslag, bølgeskvulp",N/A,"TID-1,TID-2,TID-4,TID-8,TID-41,TID-176",KAR-17,,STE-37,"KAR-4,KAR-1,KAR-22",
STE-3,Sørstrand,STE-3 -> STE-5 -> STE-29,130,Bygd,"Grusvei, strand, Marius’ hytte, Marius’ tomt under bygging, norrøn offerplass","Kystbygd med strand og hytter, hjem til Marius’ nye hus, avslappet atmosfære","Strandbølger, palmesus, norrøn mystikk",N/A,"TID-20,TID-31,TID-169","KAR-2,KAR-11,KAR-10,KAR-24,KAR-27",KAR-4,"STE-7,STE-19,STE-31,STE-32","KAR-22,KAR-1,KAR-4,KAR-10,KAR-2,KAR-6",
STE-4,Østsida,STE-4 -> STE-5 -> STE-29,220,Tettsted,"Strandhus, små fiskebåter, grusveier, liten stavkirke fra 1000-tallet med norrøne ornamenter","Tettsted i øst, hjem til Mia’s familie, fiskebasert livsstil","Fiskelukt, knirkende trehus, måkeskrik",N/A,,"KAR-15,KAR-5","KAR-1,KAR-6,KAR-22","STE-6,STE-20,STE-33","KAR-1,KAR-6,KAR-5,KAR-22",
STE-5,Palmøya,STE-5 -> STE-29,800,Øy,"Fergeforbindelse, grusveier, fiskebanker, tropisk vegetasjon","Tropisk øy med 800 innbyggere, blander norrøne og moderne tradisjoner","Tropisk blomsterduft, bølgesus, norrøn ånd",N/A,"TID-7,TID-159",,"KAR-17,,KAR-2,KAR-11,KAR-10,KAR-24,KAR-27,KAR-4,KAR-16,KAR-9,KAR-23,KAR-12,,KAR-15,KAR-5,KAR-1,KAR-6,KAR-22,KAR-14,KAR-13,,KAR-31,KAR-28","STE-2,STE-3,STE-1,STE-4,STE-12,STE-13,STE-14,STE-15,STE-16,STE-17",,
STE-6,Mia’s hjem,STE-6 -> STE-4 -> STE-5 -> STE-29,0,Strandhus,"Lite trehus med hage, sykkelsti, nær Østsida strand. Inneholder en smal, knirkende tretrapp til Mias rom, en koselig gang med lyst treverk, håndmalte bilder av Østsida-stranda, en norrøn runeramme, og et slitt, fargerikt teppe. Stua har et rustikt trebord, levende lys, en bokhylle med bøker om fiske og norrøn historie, og strikkede tepper over en slitt sofa. Kjøkkenet er lite, lyst, med hvite trevegger, urtekrukker, hjemmelaget syltetøy, og duft av kaffe og sjokolade.","Mia’s familiehjem, enkelt og koselig","Hjemmekoselig varme, duft av nybakt brød, sjøbris, lavendel fra tørkede blomster, og en blanding av tropisk sjarm og familiens personlige preg.” [Bekreftet fra forrige melding, ingen nye endringer nødvendig.",KAR-1 (Beboer),"TID-18,TID-26,TID-27,TID-28,TID-29,TID-35,TID-171","KAR-1,KAR-6,KAR-22",,,"KAR-22,KAR-5,KAR-6,KAR-1,KAR-7","REL-40,REL-41"
STE-7,Leie hytte,STE-7 -> STE-3 -> STE-5 -> STE-29,0,Hytte,"Liten hytte nær stranden i Sørstrand. Inneholder et koselig soverom med bred seng, blått teppe, og åpent vindu mot vika. Kjøkkenet har trevegger, en kurv med tropisk frukt, norrøne runer risset i en trehylle, og duft av havbris. Stua har en komfortabel sofa og et bord.",Marius’ midlertidige hjem i Sørstrand,"Havbris, strandatmosfære, varm glød fra lamper, og en intim, koselig stemning med norrøne detaljer.",KAR-4 (Leieboer),"TID-3,TID-4,TID-6,TID-7,TID-9,TID-10,TID-11,TID-12,TID-21,TID-22,TID-23,TID-24,TID-25,TID-32,TID-33,TID-36,TID-37,TID-38,TID-39,TID-40,TID-20,TID-170,TID-174,TID-175,TID-177,TID-182,TID-183,TID-184,TID-185",KAR-4,,,"KAR-1,KAR-2,KAR-10,KAR-4","REL-4,REL-12,REL-33"
STE-8,Matbutikken,STE-8 -> STE-1 -> STE-5 -> STE-29,0,Butikk,"Liten butikk med dagligvarer, kasse der Mia jobber, sentralt i Palmstad","Hovedbutikk i Palmstad, senter for sosial kontakt, Matbutikken er øyas sladderhub, hvor Mia (KAR-1) ofte hører rykter om kjærlighetsdrama eller kommende Ting-møter.","Fruktduft, klingende kasse, folkemumling","KAR-5 (Eier),KAR-1 (Medarbeider),KAR-2 (Deltid)","TID-5,TID-17,TID-19,TID-30,TID-34,TID-170,TID-180",,,,"KAR-4,KAR-1,KAR-5,KAR-9",
STE-9,Halden,STE-9 -> STE-28 -> STE-29,32000,By fastland,"Fergekai, garasjeanlegg, E6 til Oslo","Ankomstby for fergen fra Palmøya, overgang til fastlandet","Havnelukt, biltrafikk, fergehorn",N/A,"TID-44,TID-45,TID-43,TID-164",,,,"KAR-1,KAR-4",
STE-10,Holmenkollveien 125,STE-10 -> STE-27 -> STE-28 -> STE-29,0,Hus,"Moderne hus med oppkjørsel, garasje, stue, bibliotek, badstue, Nira AI-system","Marius’ tidligere hjem i Oslo, solgt for 65 mill.","Moderne luksus, Nira’s hologramglød",N/A,"TID-50,TID-47,TID-48,TID-49,TID-51,TID-52,TID-162,TID-163,TID-161,TID-164",KAR-26,,,"KAR-4,KAR-1,KAR-26,KAR-20","REL-8,REL-18,REL-38"
STE-11,Fergen,STE-11 -> STE-29,0,Ferge,"Ferge med ukentlig rute til fastlandet (onsdag kl. 9–10), frokostservering","Transport mellom Palmøya og Halden, sosial møteplass","Bølgeskvulp, kaffeduft, motordur",N/A,"TID-41,TID-42,TID-43",,,,"KAR-1,KAR-4,KAR-11",
STE-12,Nordvika,STE-12 -> STE-5 -> STE-29,120,Tettsted,"Grusveier, små hus, norrøn kirke, Nordvikafossen","Rolig bygd i nord, med foss og kirke","Fossebrus, skogsluft, rolig stillhet",N/A,,"KAR-14,KAR-13",,"STE-34,STE-35,STE-40",,
STE-13,Vestkroken,STE-13 -> STE-5 -> STE-29,70,Bygd,"Grusveier, Fruktgården, spredte hus","Rolig bygd i vest, jordbruksområde","Frukthageduft, landlig ro, fuglesang",N/A,,KAR-31,KAR-28,"STE-21,STE-41",KAR-31,
STE-14,Ringveien,STE-14 -> STE-5 -> STE-29,0,Vei,"Grusvei (~12 km) som forbinder Palm Kai, Palmstad, Sørstrand","Hovedvei rundt Palmøya, brukt til sykling og transport","Vindens sus, grusknitring, palmeskygger",N/A,TID-26,,,,"KAR-4,KAR-1",
STE-15,Nord-sør grusvei,STE-15 -> STE-5 -> STE-29,0,Vei,"Grusvei (~4 km) som forbinder Nordvika og Palm Kai via Palmstad. ","Hovedvei for sykkel, gange og transport i nord-sør retning","Fuglekvitter, grusknas, tropisk varme",N/A,TID-31,,,,"KAR-1,KAR-4",
STE-16,Øst-vest grusvei,STE-16 -> STE-5 -> STE-29,0,Vei,Grusvei (~4 km) som forbinder Østsida og Vestkroken via Palmstad,"Hovedvei for sykkel, gange og transport i øst-vest retning","Palmesus, fjerne bølger, varm grus",N/A,,,,,KAR-1,
STE-17,Stier og gårdsveier,STE-17 -> STE-5 -> STE-29,0,Stier,Små stier og veier som forbinder gårder og hus,Sekundærveier for lokal transport,"Stille stier, gressduft, fuglesang",N/A,,,,,,
STE-18,Lena," STE-18 -> STE-28 -> STE-29",1500,Tettsted fastland,"Hus, små butikker, bilforretning","Lite tettsted på fastlandet, hjem til Marius’ familie","Stort tettsted vibe, kaffeduft, bilstøy",N/A,,"KAR-21,KAR-20,KAR-25",,,"KAR-4,KAR-20,KAR-21",
STE-19,Marius’ hus,STE-19 -> STE-3 -> STE-5 -> STE-29,0,Hus,"Moderne hus under bygging i Sørstrand-vika, med nyheiste moduler (tak, basseng). Inneholder en romslig stue med store vinduer mot vika, lyst tregulv, jord- og gråtonede vegger (hvite i ubrukte rom). Kjøkken med åpen løsning mot stua, vestlig del med stort bad (toalett, dusj) og vaskerom med benk. Kjeller med gummibelagt ‘lab’ med kodelås, lagringsrom, og et udesignert rom. Loftstue med bad, to gjesterom, og udesignert rom. Master soverom mot sør med høy takhøyde, walk-in closet, og master bad med dobbel fossefalldusj, boblebad, og badstue med utsikt mot vika. Terrasse med fliser, opplyst basseng med glasskant mot havet, kaldkulp, boblebad, utekjøkken med pizzaovn, badstue for 4–8 personer, toalett, og to utedusjer.","Marius’ nye, ferdige hjem i Sørstrand, designet for komfort og teknologi","Moderne tropisk luksus, duft av nytt treverk og havbris, måneskinn fra vika, LED-lys fra basseng, og en blanding av Sørstrand-sjarm og høyteknologisk komfort, Nira’s svake hologramglød",KAR-26 (AI-assistent),"TID-20,TID-169,TID-170,TID-172,TID-173,TID-178",,,,"KAR-1,KAR-4,KAR-26",
STE-20,Gunnars Verksted,STE-20 -> STE-6 -> STE-5 -> STE-29,0,Verksted,"Lite snekkerverksted med trebearbeiding, nær Sørstrand","Gunnars møbelsnekkeri, produserer håndlagde møbler","Sagflisduft, hamring, treknirking",KAR-27 (Eier),,,,,KAR-27,
STE-21,Fruktgården,STE-21 -> STE-13 -> STE-5 -> STE-29,0,Gård,"Frukthage med mango, papaya, kokos, produksjonslokale for saft og syltetøy","Fru Knudsens gård i Vestkroken, senter for fruktproduksjon","Søt fruktlukt, summende bier, landlig ro",KAR-28 (Eier),TID-179,KAR-28,,,KAR-28,
STE-22,Palmstad Kafé,STE-22 -> STE-1 -> STE-5 -> STE-29,0,Spisested,"Liten kafé med uteservering, serverer kaffe og kaker","Sosial møteplass i Palmstad, populær for kaffeprat","Kaffeduft, latter, klirring av kopper",KAR-24 (Eier),TID-181,,,,KAR-24,
STE-23,Karl Johan,STE-23 -> STE-27 -> STE-28 -> STE-29,0,Gate fastlandet,"Butikker (Zara, undertøysbutikk, Kondomeriet), spisesteder (Egon, W.B. Samson)",Handlegate i Oslo med butikker og sosial aktivitet,"Byens puls, kaffelukt, folkemengder",N/A,"TID-46,TID-54,TID-55",,,STE-25,"KAR-1,KAR-4,KAR-20,KAR-7",
STE-24,T-bane i Oslo,STE-24 -> STE-27 -> STE-28 -> STE-29,0,T-banen (Oslo),T-banestasjon i Holmenkollen og t-bane til sentrum,Forbindelse fra Holmenkollen til Oslo sentrum,"T-banelyd, folkemumling, byluft",N/A,"TID-53,TID-161",,,,"KAR-1,KAR-4,KAR-20",
STE-25,W.B. Samson,STE-25 -> STE-23 -> STE-27 -> STE-28 -> STE-29,0,Bakeri Oslo,"Kafé med sitteplasser, bord, kaffe og boller",Møtepunkt på Karl Johan for kaffe og sosial aktivitet,"Kanelbolleduft, myk musikk, prat",N/A,TID-54,,,,"KAR-20,KAR-4,KAR-1,KAR-7","REL-19,REL-26"
STE-26,Maaemo,STE-26 -> STE-27 -> STE-28 -> STE-29,0,Restaurant (Oslo Bjørvika),"Restaurant med eksklusiv meny, begrenset bordkapasitet","Eksklusiv restaurant i Oslo Bjørvika, booket av Marius","Elegant stemning, matduft, dempet lys",N/A,"TID-55,TID-160",,,,"KAR-1,KAR-7,KAR-4,KAR-8",REL-32
STE-27,Oslo,STE-27 -> STE-28 -> STE-29,1083000,By fastland,"Hovedstad med t-bane, butikker, restauranter",Hovedstaden i Norge,"Byens larm, neonlys, trafikkdur",N/A,"TID-45,TID-161","KAR-8,KAR-7",KAR-26,"STE-10,STE-23,STE-24,STE-26",,REL-32
STE-28,Fastlandet,STE-28 -> STE-29,5572000,Fastlandet,"Byer, veier, infrastruktur","Fastlands-Norge, ekskludert Palmøya","Bybrus, naturlyder, mangfoldig puls",N/A,,KAR-19,"KAR-21,KAR-20,KAR-25,KAR-8,KAR-7,KAR-26","STE-9,STE-18,STE-27",,
STE-29,Norge,STE-29,5572800,Land,Nasjonal infrastruktur,Norge inkludert Fastlandet og Palmøya,"Fjordluft, by- og naturblanding",N/A,,,"KAR-17,KAR-2,KAR-11,KAR-10,KAR-24,KAR-27,KAR-4,KAR-16,KAR-9,KAR-23,KAR-12,,KAR-15,KAR-5,KAR-1,KAR-6,KAR-22,KAR-14,KAR-13,,KAR-31,KAR-28,KAR-19,,KAR-21,KAR-20,KAR-25,KAR-8,KAR-7,KAR-26","STE-5,STE-11,STE-28",,
STE-30,Tingstedet,STE-30 -> STE-1 -> STE-5 -> STE-29,0,Severdighet,"Amfiteater med steinsirkler, runesteiner, plass til 200, fakkelbelysning for arrangementer","Historisk tingsted i Palmstad, brukt til Tinget og festivaler som Midtsommerblót (TID-158)","Fakkellys, norrøne melodier, folkemengder på festivaler",N/A,TID-158,,,,,REL-27
STE-31,Tropisk Lagune,STE-31 -> STE-3 -> STE-5 -> STE-29,0,Natursted,"Privat lagune med myk sand, palmer, krystallklart vann, ideell for svømming og romantikk","Romantisk lagune i Sørstrand, brukt til turer og surfing","Varmt vann, hibiskusduft, måkeskrik, romantisk under stjernene",N/A,,,,,,
STE-32,Norrøn offerplass,STE-32 -> STE-3 -> STE-5 -> STE-29,0,Severdighet,"Liten steinsirkel med offerstein, omgitt av palmer, brukt til norrøne ritualer","Historisk offerplass i Sørstrand, brukt til seremonier og stille refleksjon","Mystisk stillhet, duft av palmebløter, svake bølger i bakgrunnen",N/A,,,,,,
STE-33,Stavkirke,STE-33 -> STE-4 -> STE-5 -> STE-29,0,Severdighet,"Trehus fra 1000-tallet med norrøne ornamenter og dragehoder, liten kristent alter, plass til 50","Historisk stavkirke i Østsida, brukt til seremonier som dåp","Knirkende tregulv, svak røkelsesduft, norrøne runer i måneskinn",N/A,,,,,,
STE-34,Nordvikafossen,STE-34 -> STE-12 -> STE-5 -> STE-29,0,Natursted,"Foss med 10 meters fall, omgitt av frodig vegetasjon, sti for turgåere","Naturskjønn foss i Nordvika, populær for turer og avslapning","Brusende vann, frisk skogsluft, fuglekvitter",N/A,,,,,,
STE-35,Norrøn kirke,STE-35 -> STE-12 -> STE-5 -> STE-29,0,Severdighet,"Hybrid kirke med norrønt tak, runer, kristent alter, plass til 50–100, brukt til dåp og bryllup","Historisk kirke i Nordvika, blander norrøne og kristne tradisjoner","Tung røkelse, svake ekko av salmer, runer i skygger",N/A,,,,,,
STE-36,Vikinghøvdingens grav,STE-36 -> STE-1 -> STE-5 -> STE-29,0,Severdighet,"Gravhaug fra vikingtid nær STE-8 (Matbutikken), med runesteiner og lite museum","Historisk gravhaug i Palmstad, markerer tidlig bosetting","Stille ærefrykt, svak duft av jord, runesteiner i solnedgang",N/A,,,,,,
STE-37,Norrøn offerstein,STE-37 -> STE-2 -> STE-5 -> STE-29,0,Severdighet,"Gammel runestein ved STE-11 (fergekaia), brukt til norrøne fiskeofringer, nå minnesmerke","Historisk offerstein ved Palm Kai, symbol for fisketradisjoner","Saltvannslukt, bølgeskvulp, vinden mot runesteinen",N/A,TID-176,,,,,
STE-38,Fraktskipet,STE-38 → STE-29,0,Fraktskip,"Kantina, dekk for modullasting","Fraktskip fra Halden til Sørstrand-vika, kantina med utsikt, fiskesmørbrød, selfie til Nora.","Sjøluft, motorbrum, travel lasting.",N/A,"TID-164,TID-165,TID-166,TID-167,TID-169,TID-168",,,,,
STE-39,Måneskinsgrotten,STE-39 -> STE-31 -> STE-3 -> STE-5 -> STE-29,0,Natursted,En liten hule med glødende alger i vannet,Måneskinnsgrotten er en skjult perle der par ofte møtes for intime stunder under glødende alger.,"Glødende alger, stille bølgeskvulp, romantisk og mystisk.",N/A,,,,,,
STE-40,Lagunegrotten,STE-40 -> STE-12 -> STE-5 -> STE-29,0,Natursted,"En liten grotte ved en lagune i STE-12 (Nordvika), med stalaktitter og krystallklart vann",Lokale legender knytter den til norrøn seid (sjamanisme). Brukes til svømming og piknik. Tilgjengelig via STE-14 (Ringveien) og stier (~2 km fra STE-1 (Palmstad)).,N/A,N/A,,,,,,
STE-41,Fossefallet,STE-41 -> STE-13 -> STE-5 -> STE-29,0,Natursted,"Et lite fossefall fra en kilde i palmeskogen i STE-13 (Vestkroken), med et basseng for bading.",Historisk brukt til norrøne vannritualer. Tilgjengelig via STE-16 (Øst-vest grusvei) (~2 km fra STE-1 (Palmstad)).,N/A,N/A,TID-179,,,,KAR-31,

